log_file,event_index,mode,profile,tier1_on,tier2_on,type_c_attack,fwd_sp,relay_decision,relay_reason,severity,da_ack_status,expected_block_attack,policy_ok
baseline_t10_t20_boundary_safe_both_t002.log,1,baseline,boundary_safe_both,False,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_boundary_safe_both_t003.log,0,baseline,boundary_safe_both,False,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_boundary_safe_both_t003.log,1,baseline,boundary_safe_both,False,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_boundary_tier2_only_t001.log,0,baseline,boundary_tier2_only,False,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_boundary_tier2_only_t001.log,1,baseline,boundary_tier2_only,False,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_boundary_tier2_only_t002.log,0,baseline,boundary_tier2_only,False,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_boundary_tier2_only_t002.log,1,baseline,boundary_tier2_only,False,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_boundary_tier2_only_t003.log,0,baseline,boundary_tier2_only,False,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t20_boundary_tier2_only_t003.log,1,baseline,boundary_tier2_only,False,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t10_t21_benign_nominal_t001.log,0,baseline,benign_nominal,False,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t10_t21_benign_nominal_t001.log,1,baseline,benign_nominal,False,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t10_t21_benign_nominal_t002.log,0,baseline,benign_nominal,False,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t10_t21_benign_nominal_t002.log,1,baseline,benign_nominal,False,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t10_t21_benign_nominal_t003.log,0,baseline,benign_nominal,False,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t10_t21_benign_nominal_t003.log,1,baseline,benign_nominal,False,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t10_t21_boundary_safe_both_t001.log,0,baseline,boundary_safe_both,False,True,False,2.0,accept,tier2_ok,0.051364,0,allow_benign,True
baseline_t10_t21_boundary_safe_both_t001.log,1,baseline,boundary_safe_both,False,True,False,2.0,accept,tier2_ok,0.051364,0,allow_benign,True
baseline_t10_t21_boundary_safe_both_t002.log,0,baseline,boundary_safe_both,False,True,False,2.0,accept,tier2_ok,0.051364,0,allow_benign,True
baseline_t10_t21_boundary_safe_both_t002.log,1,baseline,boundary_safe_both,False,True,False,2.0,accept,tier2_ok,0.051364,0,allow_benign,True
baseline_t10_t21_boundary_safe_both_t003.log,0,baseline,boundary_safe_both,False,True,False,2.0,accept,tier2_ok,0.051364,0,allow_benign,True
baseline_t10_t21_boundary_safe_both_t003.log,1,baseline,boundary_safe_both,False,True,False,2.0,accept,tier2_ok,0.051364,0,allow_benign,True
baseline_t10_t21_boundary_tier2_only_t001.log,0,baseline,boundary_tier2_only,False,True,False,2.5,reject,tier2_predicted_state_deviation,0.120776,1,allow_benign,False
baseline_t10_t21_boundary_tier2_only_t001.log,1,baseline,boundary_tier2_only,False,True,False,2.5,reject,tier2_predicted_state_deviation,0.120776,1,allow_benign,False
baseline_t10_t21_boundary_tier2_only_t002.log,0,baseline,boundary_tier2_only,False,True,False,2.5,reject,tier2_predicted_state_deviation,0.120776,1,allow_benign,False
baseline_t10_t21_boundary_tier2_only_t002.log,1,baseline,boundary_tier2_only,False,True,False,2.5,reject,tier2_predicted_state_deviation,0.120776,1,allow_benign,False
baseline_t10_t21_boundary_tier2_only_t003.log,0,baseline,boundary_tier2_only,False,True,False,2.5,reject,tier2_predicted_state_deviation,0.120776,1,allow_benign,False
baseline_t10_t21_boundary_tier2_only_t003.log,1,baseline,boundary_tier2_only,False,True,False,2.5,reject,tier2_predicted_state_deviation,0.120776,1,allow_benign,False
baseline_t11_t20_benign_nominal_t001.log,0,baseline,benign_nominal,True,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_benign_nominal_t001.log,1,baseline,benign_nominal,True,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_benign_nominal_t002.log,0,baseline,benign_nominal,True,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_benign_nominal_t002.log,1,baseline,benign_nominal,True,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_benign_nominal_t003.log,0,baseline,benign_nominal,True,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_benign_nominal_t003.log,1,baseline,benign_nominal,True,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_boundary_safe_both_t001.log,0,baseline,boundary_safe_both,True,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_boundary_safe_both_t001.log,1,baseline,boundary_safe_both,True,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_boundary_safe_both_t002.log,0,baseline,boundary_safe_both,True,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_boundary_safe_both_t002.log,1,baseline,boundary_safe_both,True,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_boundary_safe_both_t003.log,0,baseline,boundary_safe_both,True,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_boundary_safe_both_t003.log,1,baseline,boundary_safe_both,True,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_boundary_tier2_only_t001.log,0,baseline,boundary_tier2_only,True,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_boundary_tier2_only_t001.log,1,baseline,boundary_tier2_only,True,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_boundary_tier2_only_t002.log,0,baseline,boundary_tier2_only,True,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_boundary_tier2_only_t002.log,1,baseline,boundary_tier2_only,True,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_boundary_tier2_only_t003.log,0,baseline,boundary_tier2_only,True,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t20_boundary_tier2_only_t003.log,1,baseline,boundary_tier2_only,True,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
baseline_t11_t21_benign_nominal_t001.log,0,baseline,benign_nominal,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t11_t21_benign_nominal_t001.log,1,baseline,benign_nominal,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t11_t21_benign_nominal_t002.log,0,baseline,benign_nominal,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t11_t21_benign_nominal_t002.log,1,baseline,benign_nominal,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t11_t21_benign_nominal_t003.log,0,baseline,benign_nominal,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t11_t21_benign_nominal_t003.log,1,baseline,benign_nominal,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
baseline_t11_t21_boundary_safe_both_t001.log,0,baseline,boundary_safe_both,True,True,False,2.0,accept,tier2_ok,0.051364,0,allow_benign,True
baseline_t11_t21_boundary_safe_both_t001.log,1,baseline,boundary_safe_both,True,True,False,2.0,accept,tier2_ok,0.051364,0,allow_benign,True
baseline_t11_t21_boundary_safe_both_t002.log,0,baseline,boundary_safe_both,True,True,False,2.0,accept,tier2_ok,0.051364,0,allow_benign,True
baseline_t11_t21_boundary_safe_both_t002.log,1,baseline,boundary_safe_both,True,True,False,2.0,accept,tier2_ok,0.051364,0,allow_benign,True
baseline_t11_t21_boundary_safe_both_t003.log,0,baseline,boundary_safe_both,True,True,False,2.0,accept,tier2_ok,0.051364,0,allow_benign,True
baseline_t11_t21_boundary_safe_both_t003.log,1,baseline,boundary_safe_both,True,True,False,2.0,accept,tier2_ok,0.051364,0,allow_benign,True
baseline_t11_t21_boundary_tier2_only_t001.log,0,baseline,boundary_tier2_only,True,True,False,2.5,reject,tier2_predicted_state_deviation,0.120776,1,allow_benign,False
baseline_t11_t21_boundary_tier2_only_t001.log,1,baseline,boundary_tier2_only,True,True,False,2.5,reject,tier2_predicted_state_deviation,0.120776,1,allow_benign,False
baseline_t11_t21_boundary_tier2_only_t002.log,0,baseline,boundary_tier2_only,True,True,False,2.5,reject,tier2_predicted_state_deviation,0.120776,1,allow_benign,False
baseline_t11_t21_boundary_tier2_only_t002.log,1,baseline,boundary_tier2_only,True,True,False,2.5,reject,tier2_predicted_state_deviation,0.120776,1,allow_benign,False
baseline_t11_t21_boundary_tier2_only_t003.log,0,baseline,boundary_tier2_only,True,True,False,2.5,reject,tier2_predicted_state_deviation,0.120776,1,allow_benign,False
baseline_t11_t21_boundary_tier2_only_t003.log,1,baseline,boundary_tier2_only,True,True,False,2.5,reject,tier2_predicted_state_deviation,0.120776,1,allow_benign,False
combined_t01.log,0,combined,,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t01.log,1,combined,,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t02.log,0,combined,,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t02.log,1,combined,,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t03.log,0,combined,,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t03.log,1,combined,,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t04.log,0,combined,,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t04.log,1,combined,,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t05.log,0,combined,,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t05.log,1,combined,,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t10_t20_benign_nominal_t001.log,0,combined,benign_nominal,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_benign_nominal_t001.log,1,combined,benign_nominal,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_benign_nominal_t002.log,0,combined,benign_nominal,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_benign_nominal_t002.log,1,combined,benign_nominal,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_benign_nominal_t003.log,0,combined,benign_nominal,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_benign_nominal_t003.log,1,combined,benign_nominal,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_boundary_safe_both_t001.log,0,combined,boundary_safe_both,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_boundary_safe_both_t001.log,1,combined,boundary_safe_both,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_boundary_safe_both_t002.log,0,combined,boundary_safe_both,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_boundary_safe_both_t002.log,1,combined,boundary_safe_both,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_boundary_safe_both_t003.log,0,combined,boundary_safe_both,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_boundary_safe_both_t003.log,1,combined,boundary_safe_both,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_boundary_tier2_only_t001.log,0,combined,boundary_tier2_only,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_boundary_tier2_only_t001.log,1,combined,boundary_tier2_only,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_boundary_tier2_only_t002.log,0,combined,boundary_tier2_only,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_boundary_tier2_only_t002.log,1,combined,boundary_tier2_only,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_boundary_tier2_only_t003.log,0,combined,boundary_tier2_only,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t20_boundary_tier2_only_t003.log,1,combined,boundary_tier2_only,False,False,True,8.0,accept,tier2_disabled_env,,0,block_malicious_forward,False
combined_t10_t21_benign_nominal_t001.log,0,combined,benign_nominal,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_benign_nominal_t001.log,1,combined,benign_nominal,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_benign_nominal_t002.log,0,combined,benign_nominal,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_benign_nominal_t002.log,1,combined,benign_nominal,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_benign_nominal_t003.log,0,combined,benign_nominal,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_benign_nominal_t003.log,1,combined,benign_nominal,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_boundary_safe_both_t001.log,0,combined,boundary_safe_both,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_boundary_safe_both_t001.log,1,combined,boundary_safe_both,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_boundary_safe_both_t002.log,0,combined,boundary_safe_both,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_boundary_safe_both_t002.log,1,combined,boundary_safe_both,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_boundary_safe_both_t003.log,0,combined,boundary_safe_both,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_boundary_safe_both_t003.log,1,combined,boundary_safe_both,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_boundary_tier2_only_t001.log,0,combined,boundary_tier2_only,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_boundary_tier2_only_t001.log,1,combined,boundary_tier2_only,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_boundary_tier2_only_t002.log,0,combined,boundary_tier2_only,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_boundary_tier2_only_t002.log,1,combined,boundary_tier2_only,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_boundary_tier2_only_t003.log,0,combined,boundary_tier2_only,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t10_t21_boundary_tier2_only_t003.log,1,combined,boundary_tier2_only,False,True,True,8.0,reject,tier2_predicted_state_deviation,0.884301,1,block_malicious_forward,True
combined_t11_t20_benign_nominal_t001.log,0,combined,benign_nominal,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_benign_nominal_t001.log,1,combined,benign_nominal,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_benign_nominal_t002.log,0,combined,benign_nominal,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_benign_nominal_t002.log,1,combined,benign_nominal,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_benign_nominal_t003.log,0,combined,benign_nominal,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_benign_nominal_t003.log,1,combined,benign_nominal,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_boundary_safe_both_t001.log,0,combined,boundary_safe_both,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_boundary_safe_both_t001.log,1,combined,boundary_safe_both,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_boundary_safe_both_t002.log,0,combined,boundary_safe_both,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_boundary_safe_both_t002.log,1,combined,boundary_safe_both,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_boundary_safe_both_t003.log,0,combined,boundary_safe_both,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_boundary_safe_both_t003.log,1,combined,boundary_safe_both,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_boundary_tier2_only_t001.log,0,combined,boundary_tier2_only,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_boundary_tier2_only_t001.log,1,combined,boundary_tier2_only,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_boundary_tier2_only_t002.log,0,combined,boundary_tier2_only,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_boundary_tier2_only_t002.log,1,combined,boundary_tier2_only,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_boundary_tier2_only_t003.log,0,combined,boundary_tier2_only,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t20_boundary_tier2_only_t003.log,1,combined,boundary_tier2_only,True,False,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_benign_nominal_t001.log,0,combined,benign_nominal,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_benign_nominal_t001.log,1,combined,benign_nominal,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_benign_nominal_t002.log,0,combined,benign_nominal,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_benign_nominal_t002.log,1,combined,benign_nominal,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_benign_nominal_t003.log,0,combined,benign_nominal,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_benign_nominal_t003.log,1,combined,benign_nominal,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_boundary_safe_both_t001.log,0,combined,boundary_safe_both,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_boundary_safe_both_t001.log,1,combined,boundary_safe_both,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_boundary_safe_both_t002.log,0,combined,boundary_safe_both,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_boundary_safe_both_t002.log,1,combined,boundary_safe_both,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_boundary_safe_both_t003.log,0,combined,boundary_safe_both,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_boundary_safe_both_t003.log,1,combined,boundary_safe_both,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_boundary_tier2_only_t001.log,0,combined,boundary_tier2_only,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_boundary_tier2_only_t001.log,1,combined,boundary_tier2_only,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_boundary_tier2_only_t002.log,0,combined,boundary_tier2_only,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_boundary_tier2_only_t002.log,1,combined,boundary_tier2_only,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_boundary_tier2_only_t003.log,0,combined,boundary_tier2_only,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
combined_t11_t21_boundary_tier2_only_t003.log,1,combined,boundary_tier2_only,True,True,True,8.0,reject,tier1_band_violation,,1,block_malicious_forward,True
fdia_only_t01.log,0,fdia_only,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
fdia_only_t01.log,1,fdia_only,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
fdia_only_t02.log,0,fdia_only,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
fdia_only_t02.log,1,fdia_only,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
fdia_only_t03.log,0,fdia_only,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
fdia_only_t03.log,1,fdia_only,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
fdia_only_t04.log,0,fdia_only,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
fdia_only_t04.log,1,fdia_only,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
fdia_only_t05.log,0,fdia_only,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
fdia_only_t05.log,1,fdia_only,,True,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
fdia_only_t10_t20_benign_nominal_t001.log,0,fdia_only,benign_nominal,False,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_benign_nominal_t001.log,1,fdia_only,benign_nominal,False,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_benign_nominal_t002.log,0,fdia_only,benign_nominal,False,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_benign_nominal_t002.log,1,fdia_only,benign_nominal,False,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_benign_nominal_t003.log,0,fdia_only,benign_nominal,False,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_benign_nominal_t003.log,1,fdia_only,benign_nominal,False,False,False,1.62,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_boundary_safe_both_t001.log,0,fdia_only,boundary_safe_both,False,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_boundary_safe_both_t001.log,1,fdia_only,boundary_safe_both,False,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_boundary_safe_both_t002.log,0,fdia_only,boundary_safe_both,False,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_boundary_safe_both_t002.log,1,fdia_only,boundary_safe_both,False,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_boundary_safe_both_t003.log,0,fdia_only,boundary_safe_both,False,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_boundary_safe_both_t003.log,1,fdia_only,boundary_safe_both,False,False,False,2.0,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_boundary_tier2_only_t001.log,0,fdia_only,boundary_tier2_only,False,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_boundary_tier2_only_t001.log,1,fdia_only,boundary_tier2_only,False,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_boundary_tier2_only_t002.log,0,fdia_only,boundary_tier2_only,False,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_boundary_tier2_only_t002.log,1,fdia_only,boundary_tier2_only,False,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_boundary_tier2_only_t003.log,0,fdia_only,boundary_tier2_only,False,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t20_boundary_tier2_only_t003.log,1,fdia_only,boundary_tier2_only,False,False,False,2.5,accept,tier2_disabled_env,,0,allow_benign,True
fdia_only_t10_t21_benign_nominal_t001.log,0,fdia_only,benign_nominal,False,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
fdia_only_t10_t21_benign_nominal_t001.log,1,fdia_only,benign_nominal,False,True,False,1.62,accept,tier2_ok,0.001388,0,allow_benign,True
